epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,27017,2.19831,6.07089,2.70782,0.88524,0.76851,0.87448,0.72966,2.10055,5.21996,2.49184,0.000240188,0.000240188,0.000240188
43,27659.6,2.19201,6.00879,2.71611,0.92227,0.75179,0.88294,0.73359,2.09493,5.21938,2.4918,0.000230388,0.000230388,0.000230388
44,28303.8,2.19358,5.93679,2.70474,0.91574,0.75831,0.88184,0.72574,2.09189,5.21724,2.48912,0.000220618,0.000220618,0.000220618
45,28944.7,2.18953,5.83816,2.70069,0.90211,0.76555,0.87825,0.72674,2.08637,5.22566,2.4843,0.000210894,0.000210894,0.000210894
46,29585.1,2.15396,5.78439,2.68407,0.89782,0.77617,0.88623,0.7283,2.07016,5.19634,2.47566,0.00020123,0.00020123,0.00020123
47,30228.8,2.16023,5.82596,2.69652,0.88846,0.77717,0.89003,0.73301,2.05809,5.16158,2.47172,0.000191642,0.000191642,0.000191642
48,30872.3,2.14143,5.71495,2.68009,0.88977,0.77393,0.8884,0.72923,2.05737,5.14476,2.46753,0.000182143,0.000182143,0.000182143
49,31514.2,2.13324,5.64794,2.68114,0.90211,0.77041,0.88783,0.73227,2.05052,5.1288,2.46517,0.000172749,0.000172749,0.000172749
50,32162.4,2.14035,5.59987,2.67585,0.87698,0.79459,0.89204,0.73524,2.04409,5.12258,2.46481,0.000163474,0.000163474,0.000163474
51,32821.1,2.10128,5.51992,2.66722,0.87602,0.79351,0.88584,0.73094,2.04156,5.1153,2.46489,0.000154333,0.000154333,0.000154333
